,0,1,2
103,Rao Ram Singh Public School - School | Best School In Sec 45 Gurgaon,28.4480721,77.0686841
104,End Poverty,28.3952851,77.0461102
106,Synergic Nursing Institutes,28.387981,77.050663
107,KidsKingdom: Play school & Day Care Creche,28.4029927,77.04500519999999
117,Shalom Presidency School,28.4192169,77.097492
118,Vega Schools Senior - K 12 Campus,28.4068717,77.1522021
119,Daekyo India Pvt. Ltd.,28.4120504,77.108987
120,Chalk & Duster Books. Stationery. Toys,28.4009652,77.0913351
121,RBSM PUBLIC SCHOOL,28.3488017,77.080216
122,Scottish High International School,28.4262349,77.0889887
123,I AM A TEACHER,28.4139095,77.08859439999999
124,Mustakim,28.422493,77.0902547
125,Planet Maths,28.4234351,77.0917683
126,Aravali Sports Academy Basketball Football Cricket,28.4283164,77.1007164
127,English Impression,28.425823,77.094499
128,enRICHealing,28.412066,77.07409899999999
129,Computer Learning Centar,28.4339545,77.1449846
130,First Dance,28.4210886,77.0767879
131,HealthKarma 100% pure natural herbs superfoods for good health,28.413521,77.0658
133,Nest International Play School,28.407514,77.0486406
134,ARAVALI SPORTS ACADEMY,28.4253544,77.06304709999999
136,DLF Wellington Estate,28.4473769,77.0952071
137,Beansprouts Pre-school,28.4213022,77.0539775
138,GURGAON SPOKEN ENGLISH AND PD CLASSES,28.4317255,77.0628203
139,Amity International School,28.4337465,77.06335419999999
140,Mount Olympus School,28.421587,77.050394
141,Mother's Arm,28.438993,77.06822799999999
142,"Beats & Fusion Studio | Ballet Dance Wedding Choreography Zumba Fitness Hip Hop Sec 47 Sohna Road, Gurgaon",28.42000269999999,77.0473614
143,Government High School,28.3802163,77.1056371
144,Government Secondary School,28.4220191,77.1131893
145,Government Senior Secondary School,28.3493788,77.0656206
146,Government School,28.4168358,77.0731753
147,Government Boys Sr. Sec.School Badshahpur,28.386398,77.0532082
148,DAV Public School,28.398289,77.2733293
149,French Coaching Center,28.3890855,77.2889253
150,German Coaching Center,28.3894725,77.2890654
151,Lakshya The Target Institute of Commerce - Economic | Accounts Tuition Classes In Faridabad,28.3807985,77.2919118
152,Kamla Nehru Public School,28.406459,77.292504
153,Mother's Sacred Heart Academy,28.4343202,77.2891317
154,"REIKI POWER [Reiki Training, Healing & Research Centre ]",28.3608056,77.3234928
155,Sant Nirankari Public School,28.412235,77.3154239
156,Reiki training and healing centre,28.3693363,77.3284884
157,Apeejay Svran Global school (ASGS) Faridabad,28.4182717,77.28927139999999
158,Rose Valley International School,28.35530989999999,77.2589838
159,abhishek math,28.3700239,77.2692503
160,Student,28.368987,77.2698542
161,krishan sharma,28.3814694,77.2678722
162,Drona Convent School,28.35920050000001,77.2758814
163,Fit N Fun,28.3951535,77.2689963
164,New Pαckєrѕ αnd Movєrѕ,28.3603082,77.2793059
165,Durga automobile Sajan,28.3840417,77.2872647
166,Shri Hari Music Center,28.3545416,77.29256509999999
167,Yogadhayay fitness center,28.3919167,77.29218139999999
168,St Anthony's Secondary School,28.3727746,77.33459289999999
172,D C Model Sr Sec School,28.38041999999999,77.3331808
173,Healing Space Therapy Clinic,28.3951795,77.3336194
178,Yoga Therapist for Concentration Stress Reduction Spondylitis Paralysis sugar Blood Pressure,28.416997,77.317685
181,Mudra Holistic Healers tm,28.4429108,77.3129058
182,Delhi Public School Ballabgarh,28.2908756,77.29364960000001
184,Fast Fit Gym,28.3715375,77.32965279999999
185,Viroga Wellness Center,28.3767392,77.3252633
186,Nihongo O Narau,28.361605,77.32314099999999
187,Voiceover Artist,28.3940262,77.3349212
188,Diagomet Path Lab,28.3454036,77.3297913
189,Aawaz Speech & Hearing Centre - Best Hearing Aid | Best Speech Therapy In Ballabgarh,28.34308499999999,77.323821
190,Brahma Kumaris Center for Learning Meditation,28.3401728,77.33301349999999
191,The Roller Skating academy,28.4001649,77.3303396
192,Pushp Rangeela and Party,28.3926919,77.306941
193,Faridabad Accupressure / Acupuncture / Yoga Meditation Clinic,28.3987357,77.3053554
195,Feinheit Language Classes,28.4073009,77.3295708
196,Healing Touch,28.3975251,77.30126349999999
199,Aawaz Speech & Hearing Center - Hearing Aid | Speech Therapy In Faridabad,28.4098022,77.3371409
200,Anil Kataria Maths Classes,28.4103472,77.32714469999999
201,Imo preparation classes,28.410629,77.3322584
202,Gaur Girls PG in Sector 16,28.4106971,77.3250503
203,Shiksha Sanskar Play School,28.3295168,77.31708859999999
204,Dhingra'z salute to salad's - Best Gym Diet In Faridabad,28.3993825,77.2913621
206,Cambridge Montessori Pre School & Day Care Sector 88,28.4112176,77.35584229999999
212,"DPS@98, Faridabad",28.3943338,77.3844585
213,Vidsan Charterhouse,28.4157499,77.3875826
215,Genius Public School,28.4318584,77.37336119999999
218,Vidyasagar International School,28.3526781,77.43846359999999
219,Lingaya's public school,28.413455,77.4114742
220,Government Primary School,28.4129074,77.39506229999999
221,School,28.3771316,77.3361216
222,Government School,28.3670769,77.3303785
223,KL Mehta Dayanand Public High School,28.3582093,77.3286734
225,make a study site,28.4668779,76.7044526
230,M D Senior Secondary School,28.5027693,76.8965219
232,MVM Public School,28.4620518,76.9185024
233,Tagore Niketan School,28.5153723,76.8702043
234,Primary School,28.501397,76.9013694
235,School,28.5269257,76.8976769
236,Government Senior Secondary School,28.4719955,76.9251433
238,Sharda International School,28.4647855,76.9997712
239,WADHWA,28.4643835,77.0093452
241,"Physiotherapy for Paralysis,Stroke,Hemiplegia",28.46363220000001,77.01808319999999
244,Blue Bells Public School,28.4537248,77.0029904
247,Rahul dhankot,28.4729161,76.95869309999999
248,Lord Krishna Convent School,28.4813233,76.9962022
249,R K TOUR & TRAVELS,28.47924429999999,76.9997771
250,Mindfulness program,28.4620498,77.0017862
251,Study Abroad | Study Overseas with TM Global Educational Services Pvt Ltd,28.484566,77.001617
252,Herbal Swadeshi Mart & Organic Store,28.439222,77.007013
253,Arun tution center,28.4940913,77.0113287
254,Arun Tuition Center,28.4940983,77.0113282
255,Vanshika V. Misra,28.4849012,77.01616159999999
256,Solution Tutions,28.4897197,77.01696369999999
257,Our Lady of Fatima Junior Convent School,28.46518159999999,77.019964
258,"Government Middle School, Arjun nagar",28.4582263,77.02027319999999
260,Hello Kids - Wonderworld Preschool,28.4844908,77.0215474
261,Infinity Study Point,28.4554726,77.0219019
262,MooN VillA,28.5065158,77.01479979999999
263,International Delhi Public School Ggn,28.4790866,77.02489539999999
264,SHARE MARKET INSTITUTE- right place to earn and learn,28.45783269999999,77.0247419
265,Kaushik Villas,28.4740905,77.0257781
266,Major Shish Ram Memorial Public School,28.5523593,76.90938799999999
267,KINDERGARTEN PREPARATORY SCHOOL AND DAY CARE,28.46549809999999,77.0291379
269,Sawan Kirpal Ruhani Mission (SKRM) - Kirpal Ashram,28.4665056,77.0313726
274,Government School,28.4799945,76.99184749999999
276,Lord Krishna Convert School,28.4814247,76.9964371
279,Wedding and Event Choreographers in DLF phase-1 Gurugram LDU,28.4726604,77.0942761
280,E-world,28.4698056,77.04387539999999
282,Brahma Kumaris Centre for Learning Rajyoga Meditation,28.4608982,77.0453314
283,JPMP Ventures,28.459118,77.044355
284,Brush Up By Vanshika,28.4781248,77.04666999999999
289,Presidium School,28.5032002,77.029714
290,"SchoolEye - School Management Software, ERP, Gurgaon, Delhi NCR",28.5089303,77.03181409999999
295,mom's belief SOCH,28.4636926,77.079533
298,mom's belief,28.4917716,77.10336939999999
299,Continua Kids Gurgaon Sec43,28.4596886,77.0834215
301,REIKI POWER,28.5273352,77.1515453
302,"Gold's Gym, Gold Souk",28.4508715,77.0786478
303,Deep Public School,28.5115125,77.1636766
304,Florastem,28.48270879999999,77.1881875
305,Bar Code India Ltd.,28.5053041,77.0838637
306,Dr Anjali Nagpal,28.512958,77.171677
321,Arena Animation Main Campus,28.5196807,77.2008948
322,Swiss Cottage School,28.5157786,77.0502157
323,Red Roses Public School,28.522427,77.2058285
324,Delhi Public School Vasant Kunj,28.53761739999999,77.14810299999999
325,"Gold's Gym, Sec 14",28.4687308,77.0441305
326,Delhi Public School Sushant Lok,28.4643028,77.0759594
327,Blue Dart Express Limited,28.4751396,77.0607521
330,TAROT CARD READER IN SOUTH DELHI,28.4734021,77.1337574
331,Shree Gyan Ganga Public School,28.47534559999999,77.1334591
332,Genius Mid-Brain Centre,28.4784728,77.1282919
333,Ruchi Naithani,28.4665505,77.1025963
334,Vimukti,28.4758929,77.0932907
335,SAMRAT FLORIST & EVENTS,28.4638089,77.0905538
336,Rainbow Child Development Centre,28.4567707,77.0926456
337,Sanskaram Public School,28.6293884,76.5894897
338,Government Boys High School,28.6058731,76.6544468
339,Model School,28.6138946,76.68557559999999
340,Mother India Senior Secondary School,28.6009068,76.5547837
341,Government Primary School,28.653225,76.6113503
342,Thakur Dwara High School,28.6358817,76.5637241
343,Government High School,28.6573248,76.61076349999999
344,Sawan Kirpal Ruhani Mission (SKRM) - Kirpal Ashram,28.657349,76.720007
348,Maths professor,28.6353608,76.82875829999999
350,Ranbir Singh Model School,28.5637833,76.84056319999999
351,KISS Residential School,28.5775767,76.8515556
352,MCD Primary School,28.5576634,76.8703845
354,Govt Girls High School,28.639319,76.8221803
